,Cluster,Category,DecisionTree_static_mae,DecisionTree_static_me,DecisionTree_static_rmse,DecisionTree_static_direction_accuracy,DecisionTree_rolling_mae,DecisionTree_rolling_me,DecisionTree_rolling_rmse,DecisionTree_rolling_direction_accuracy,DecisionTree_wf_mae,DecisionTree_wf_me,DecisionTree_wf_rmse,DecisionTree_wf_direction_accuracy
0,"['25', '24']",A2 -  geschreddert,14.585219721424316,12.800975193934688,16.821615304864412,0.125,6.246654325717565,5.650456679587893,8.892096056622147,0.25,8.95335550926504,6.382645585185296,11.378091916406657,0.5
1,"['25', '24']",A1 & A2 -  geschreddert,10.61732890767484,6.974694035993254,11.533877819251522,0.25,7.148118815283151,3.52743930727627,9.056627813261752,0.375,6.921114500403468,1.7794143689756676,8.683579630635395,0.625
2,"['25', '24']",A2 & A3 -  geschreddert,17.442839907978524,16.694507205823097,21.089813095744994,0.5,6.918765731361294,5.58119656783003,9.184332119658094,0.0,7.531406550315473,3.8787151482181272,9.306739027215443,0.25
3,"['80', '81', '82', '83', '84', '85', '93', '94']",A3 -  geschreddert,5.789592394705136,-5.789592394705136,6.256285311873919,0.5,6.129375598530114,-4.269784643147657,6.407913648388237,0.125,2.2709827473848176,-1.9610609721744099,2.793576501940017,0.5
4,"['80', '81', '82', '83', '84', '85', '93', '94']",A1 & A2 -  geschreddert,3.4227723235504763,2.468679058503512,5.087265184534547,0.42857142857142855,4.170647688753207,3.958022372102282,5.823980930275966,0.0,2.787952515336431,1.093951614733684,5.349777534363866,0.42857142857142855
5,"['80', '81', '82', '83', '84', '85', '93', '94']",A2 & A3 -  geschreddert,3.3459132899988355,-2.069610336485658,4.411832777139501,0.25,5.514207519489745,-4.538341382179304,5.8441249571064455,0.125,3.51292279900264,-1.7043722393323475,4.3869618583756935,0.625
6,"['70', '71', '73', '74', '75', '76']",A2 & A3 -  geschreddert,6.656737337618411,-5.519537767103607,9.115511107571836,0.7142857142857143,4.374787282865242,0.6868501887210101,4.574086058301891,0.0,7.7338592863217865,3.2544955891261513,8.83876990970851,0.8571428571428571
7,"['50', '51', '52', '53']",A2 & A3 -  geschreddert,3.3426011201404315,-1.9909539904247038,4.255748506506301,0.25,2.0982845660213405,1.566382797628548,2.7498056329237945,0.0,2.307380787040792,0.08922429335274579,2.684461380900605,0.625
8,"['50', '51', '52', '53']",A3 -  geschreddert,2.6527781528869165,-0.041803371958411634,3.017870170707497,0.375,2.770845003771998,2.559927379019531,3.6205160271517873,0.0,4.253685145175742,1.852450004972597,5.786040037443288,0.125
9,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  ungeschreddert,3.4318105535924346,1.5166255808928826,3.9788048499169624,0.125,1.992080286137333,0.8697243002671561,2.1786365904677556,0.0,2.5920787523106896,1.460404225102918,3.1152754865293883,0.5
10,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  ungeschreddert,7.106347627554695,4.930129370862863,7.9857333335622345,0.2857142857142857,5.857193675594598,0.44669774880136615,6.627989996689671,0.0,5.890995194745477,-0.9939862279175125,7.733917458839028,0.2857142857142857
11,"['40', '41', '42', '44', '45', '46', '47']",A2 & A3 -  geschreddert,11.205082805746581,11.205082805746581,12.493393412868212,0.875,4.237411634982113,2.8168001148211936,4.723708959944167,0.0,3.313469623533333,0.8911321372768854,4.182106808991773,0.75
12,"['40', '41', '42', '44', '45', '46', '47']",A3 -  geschreddert,3.8015982936417996,1.2268038377917487,4.333866751996692,0.75,3.000608669214472,1.5345257215828805,4.007601875548148,0.0,2.7735619666749933,-0.1687236438783501,3.2759284782991855,0.75
13,"['40', '41', '42', '44', '45', '46', '47']",A1 & A2 -  geschreddert,5.648389735394908,-2.835481264055952,6.34765112140828,0.75,5.450960622887439,0.7354184621792673,7.22234811997002,0.125,5.1640996195974855,-1.237379026302942,7.0256050571665645,0.375
14,"['40', '41', '42', '44', '45', '46', '47']",A2 -  geschreddert,8.354456371127235,-3.012053145304445,9.230482144815333,0.42857142857142855,4.735102518357406,0.9740131578751687,5.976885265915613,0.2857142857142857,6.295577150871089,-1.333589535362291,6.997607989950077,0.5714285714285714
15,"['26', '27', '28']",A2 -  geschreddert,4.072589181808548,2.4894280709657757,6.200684832266478,0.5,3.8744575942746926,0.02611902792264306,4.3893702751321255,0.0,5.092400372346804,0.009279560395888302,6.808419248758742,0.5
16,"['26', '27', '28']",A3 -  geschreddert,4.0024062577367125,2.50911526497287,4.4585364514212635,0.25,7.327816704177041,7.327816704177041,7.788283236635348,0.125,3.855227778182931,1.8654944413871333,4.756815996141204,0.0
17,"['26', '27', '28']",A1 & A2 -  geschreddert,8.99997746157793,7.450719242367571,14.445194403838002,0.7142857142857143,5.650429615291817,0.8700999446131543,7.816889545219521,0.14285714285714285,6.686569741213556,-2.2720172794728937,9.25161660824788,0.2857142857142857
18,"['26', '27', '28']",A2 & A3 -  geschreddert,3.704170359203379,-3.683190035027054,4.5395832872146125,0.0,5.4029627311493895,0.9650829808360041,6.020798092693086,0.25,3.332837144793249,-0.7278655653500736,4.991573619348837,0.5
19,"['48', '49']",A2 & A3 -  ungeschreddert,3.3688310463006257,-2.6321266362126248,4.611096335070083,0.2857142857142857,3.6363112164217735,-3.6363112164217735,4.101148777882986,0.0,3.0477739411318314,-0.05594332822167858,4.331628328136692,0.5714285714285714
20,"['48', '49']",A3 -  ungeschreddert,5.3046368002144835,-5.138280671195085,6.776384530099285,0.7142857142857143,4.5892821626383515,-4.5892821626383515,4.845672047751172,0.0,4.250124835864298,-0.683981435955713,5.558100877298747,0.42857142857142855
21,"['48', '49']",A2 & A3 -  geschreddert,6.550124420052445,3.3828115399084586,7.287369165077003,0.75,13.133968229622289,-1.7161738975576402,14.63152768120716,0.125,13.50739972746369,1.8017878272995564,15.224030692292947,0.25
22,"['48', '49']",A1 & A2 -  geschreddert,7.890603187158723,-1.0645638532373025,9.393148096702186,0.5,5.491042781872181,-1.8716677975817853,6.741109035650399,0.0,7.297808091567025,1.0614618618006435,10.85662763767575,0.6666666666666666
23,"['48', '49']",A3 -  geschreddert,12.183617570316004,-0.6752099157689675,12.775770900991805,0.375,10.62196165743154,2.7068373882730365,11.823555894245768,0.125,11.73853532959556,1.171812741154597,12.70623831185671,0.5
24,"['20', '21', '22', '23']",A2 -  geschreddert,2.8662361149289826,-1.991514831187804,3.307469235995959,0.75,2.7173111511302874,0.3111894740034603,2.9201336366583797,0.0,4.397352518757043,1.3450965848124428,5.320577089260206,0.375
25,"['20', '21', '22', '23']",A1 & A2 -  geschreddert,5.511351685413871,-4.665300151335722,6.2590761413191816,0.75,5.759318995769219,3.677662656263367,6.536021961848252,0.375,3.294733963571967,-0.26726034666500875,3.98536235365235,0.5
26,"['20', '21', '22', '23']",A2 & A3 -  geschreddert,6.2407122998748195,-6.2407122998748195,6.646547252556353,0.375,2.6762419447336216,-0.05843338356652951,2.9040929784578484,0.0,2.9795937404056625,-1.233756060041419,3.9042224103374776,0.5
27,"['10', '11', '12', '13', '14', '15', '16']",A2 & A3 -  geschreddert,21.38694092697223,21.046970540438565,28.84122210529659,0.2857142857142857,13.602738185340833,11.127882802777485,16.68363055221072,0.0,13.29119732829357,12.951226941759906,17.48006282459907,0.14285714285714285
28,"['10', '11', '12', '13', '14', '15', '16']",A1 & A2 -  geschreddert,15.409755296637488,12.68608005870639,18.582545550409346,0.375,6.9524441953333955,5.939363713709392,10.09669194338563,0.0,9.099957287604147,5.12698116212385,12.058133654599121,0.25
29,"['10', '11', '12', '13', '14', '15', '16']",A2 -  geschreddert,10.131929795751812,6.740491726168795,11.865474344168623,0.42857142857142855,10.69554583959507,9.641162707846487,13.306047740284784,0.0,7.647095555967862,4.026833471603235,11.585207558885292,0.5714285714285714
30,"['29', '30', '31', '38', '39']",A2 & A3 -  geschreddert,5.54313675446198,-1.1920758877273496,6.883116896485054,0.25,6.168421852870882,3.0199441702736425,7.726626000342318,0.0,5.435686562831086,3.4941933779312295,6.223260633435633,0.5
31,"['29', '30', '31', '38', '39']",A1 & A2 -  geschreddert,5.51648145186533,4.082946933148108,6.839961274389218,1.0,5.579114544330697,1.1633567503051925,7.040261174594251,0.0,8.526936737138277,-0.7184112735863489,11.09670041093674,0.125
32,"['29', '30', '31', '38', '39']",A2 -  geschreddert,10.498099951525912,5.867076291493667,12.79435536253813,0.375,4.9606445634733305,0.7676227869107457,6.251379701131616,0.0,6.1112271193302945,0.7673241972937414,7.585919845387713,0.375
